rows=2946
         124383342 function calls (124381151 primitive calls) in 74.635 seconds

   Ordered by: cumulative time
   List reduced from 1235 to 12 due to restriction <12>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.549    0.549   76.102   76.102 C:\Users\Capsizer\source\repos\NexusTradingForexBot\src\nexus_scalp\model_generation\schema_v2_incremental.py:559(compute_70d_frame_fast)
     2946    0.600    0.000   38.210    0.013 C:\Users\Capsizer\source\repos\NexusTradingForexBot\src\nexus_scalp\features\scalp_features.py:526(compute_from_bars)
    11784   19.516    0.002   35.767    0.003 C:\Users\Capsizer\source\repos\NexusTradingForexBot\src\nexus_scalp\features\scalp_features.py:56(aggregate_bars)
     2946    4.401    0.001    9.651    0.003 C:\Users\Capsizer\source\repos\NexusTradingForexBot\src\nexus_scalp\model_generation\schema_v2_incremental.py:323(advance_pools_np)
     2946    4.401    0.001    9.583    0.003 C:\Users\Capsizer\source\repos\NexusTradingForexBot\src\nexus_scalp\model_generation\schema_v2_incremental.py:258(pools_visible_at)
     2946    0.038    0.000    8.771    0.003 C:\Users\Capsizer\source\repos\NexusTradingForexBot\src\nexus_scalp\features\liquidity_engine.py:806(equal_high_low_strengths)
    11784    2.336    0.000    7.803    0.001 C:\Users\Capsizer\source\repos\NexusTradingForexBot\src\nexus_scalp\features\liquidity_engine.py:761(_cluster_equal_levels)
 18206280    6.390    0.000    6.390    0.000 {built-in method fromtimestamp}
  4039916    5.810    0.000    5.810    0.000 {method 'reduce' of 'numpy.ufunc' objects}
 18003060    4.263    0.000    4.263    0.000 {method 'timestamp' of 'datetime.datetime' objects}
   675360    0.598    0.000    4.241    0.000 C:\Users\Capsizer\source\repos\NexusTradingForexBot\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:3699(mean)
     2946    0.537    0.000    4.009    0.001 C:\Users\Capsizer\source\repos\NexusTradingForexBot\src\nexus_scalp\features\liquidity_engine.py:1077(detect_reactive_sweep)


